timestamp,problem,best_distance,optimal_distance,gap_percent,improvement_percent,total_time_s,generations,population_size,mutation_prob,crossover_prob,elitism_percent,selection_method,mutation_method,crossover_method,initial_distance,convergence_gen
1767804981.647508,ATT48,11046,10628,3.9330071509220925,73.2794697501149,36.02015161514282,600,300,0.1,0.8,30,Rank Selection,Inversion Mutation,Edge Recombination (ERX),41339,204
1767805181.7088006,ATT48,11021,10628,3.6977794505080914,73.54346208320331,40.22078204154968,600,300,0.1,1.0,30,Rank Selection,Inversion Mutation,Edge Recombination (ERX),41657,235
1767805581.084562,ATT48,15437,10628,45.24840045163718,0.9866361618041992,0.9866714477539062,200,100,0.1,0.8,5,Rank Selection,rank_size,40,Order Crossover (OX),Swap Mutation,2
1767805582.0779855,ATT48,13839,10628,30.212645841174258,0.9933860301971436,0.993415355682373,200,100,0.1,0.8,5,Rank Selection,rank_size,60,Order Crossover (OX),Swap Mutation,0
1767805583.0756226,ATT48,13204,10628,24.237862250658637,0.9975988864898682,0.9976286888122559,200,100,0.1,0.8,5,Rank Selection,rank_size,60,Order Crossover (OX),Swap Mutation,1
1767805584.0738657,ATT48,14647,10628,37.815205118554765,0.9982023239135742,0.9982330799102783,200,100,0.1,0.8,5,Rank Selection,rank_size,60,Order Crossover (OX),Swap Mutation,2
1767805585.0745976,ATT48,19093,10628,79.64809936018065,1.0006957054138184,1.0007245540618896,200,100,0.1,0.8,5,Rank Selection,rank_size,80,Order Crossover (OX),Swap Mutation,0
1767805586.072533,ATT48,16731,10628,57.42378622506587,0.9979000091552734,0.9979279041290283,200,100,0.1,0.8,5,Rank Selection,rank_size,80,Order Crossover (OX),Swap Mutation,1
1767805587.0735536,ATT48,16978,10628,59.74783590515619,1.0009841918945312,1.0010137557983398,200,100,0.1,0.8,5,Rank Selection,rank_size,80,Order Crossover (OX),Swap Mutation,2
1767805588.0808852,ATT48,27202,10628,155.94655626646593,1.0072920322418213,1.007321834564209,200,100,0.1,0.8,5,Rank Selection,rank_size,100,Order Crossover (OX),Swap Mutation,0
1767805589.0810933,ATT48,24092,10628,126.68423033496425,1.000169038772583,1.0002021789550781,200,100,0.1,0.8,5,Rank Selection,rank_size,100,Order Crossover (OX),Swap Mutation,1
1767805590.083039,ATT48,21348,10628,100.86563793752352,1.0019099712371826,1.001939296722412,200,100,0.1,0.8,5,Rank Selection,rank_size,100,Order Crossover (OX),Swap Mutation,2
1767805591.1131625,ATT48,14328,10628,34.81369966127211,1.0300908088684082,1.0301179885864258,200,100,0.1,1.0,5,Rank Selection,rank_size,40,Order Crossover (OX),Swap Mutation,0
1767805592.1446278,ATT48,13042,10628,22.71358675197591,1.0314316749572754,1.0314598083496094,200,100,0.1,1.0,5,Rank Selection,rank_size,40,Order Crossover (OX),Swap Mutation,1
1767805593.176792,ATT48,12750,10628,19.966127211140382,1.0321321487426758,1.0321588516235352,200,100,0.1,1.0,5,Rank Selection,rank_size,40,Order Crossover (OX),Swap Mutation,2
